route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
801,RINFRA-801-1_Weekday-17,46663005,,0,117,801NB_120323
801,RINFRA-801-1_Weekday-17,46663006,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-17,46663007,,0,115,801NB_120323
801,RINFRA-801-1_Weekday-17,46663008,,0,118,801NB_120323
801,RINFRA-801-1_Weekday-17,46663009,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-17,46663010,,0,116,801NB_120323
801,RINFRA-801-1_Weekday-17,46663011,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-17,46663012,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-17,46663013,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-17,46663014,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-17,46663015,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-17,46663016,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-17,46663017,,1,114,801SB_120323
801,RINFRA-801-1_Weekday-17,46663018,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-17,46663019,,1,113,801SB_120323
801,RINFRA-801-1_Weekday-17,46663020,,1,112,801SB_120323
801,RINFRA-801-1_Weekday-17,46663021,,1,115,801SB_120323
801,RINFRA-801-1_Weekday-17,46663022,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-17,46663023,,1,116,801SB_120323
801,RINFRA-801-1_Weekday-17,46663024,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-17,46663025,,1,118,801SB_120323
801,RINFRA-801-1_Weekday-17,46663026,,1,117,801SB_120323
801,RINFRA-801-1_Weekday-17,46663027,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-17,46663028,,1,110,801SB_120323
801,RINFRA-801-1_Weekday-17,46663029,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-17,46663030,,1,109,801SB_120323
801,RINFRA-801-1_Weekday-17,46663031,,1,105,801SB_120323
801,RINFRA-801-1_Weekday-17,46663032,,1,107,801SB_120323
801,RINFRA-801-1_Weekday-17,46663033,,1,104,801SB_120323
801,RINFRA-801-1_Weekday-17,46663034,,1,111,801SB_120323
801,RINFRA-801-1_Weekday-17,46663035,,1,103,801SB_120323
801,RINFRA-801-1_Weekday-17,46663036,,1,101,801SB_120323
801,RINFRA-801-1_Weekday-17,46663037,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-17,46663038,,1,113,801SB_120323
801,RINFRA-801-1_Weekday-17,46663039,,1,108,801SB_120323
801,RINFRA-801-1_Weekday-17,46663040,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-17,46663041,,0,113,801NB_120323
801,RINFRA-801-1_Weekday-17,46663042,,1,112,801SB_120323
801,RINFRA-801-1_Weekday-17,46663043,,1,114,801SB_120323
801,RINFRA-801-1_Weekday-17,46663044,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-17,46663045,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-17,46663046,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-17,46663047,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-17,46663048,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-17,46663049,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-17,46663050,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-17,46663051,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-17,46663052,,0,109,801NB_120323
801,RINFRA-801-1_Weekday-17,46663053,,0,111,801NB_120323
801,RINFRA-801-1_Weekday-17,46663054,,0,103,801NB_120323
801,RINFRA-801-1_Weekday-17,46663055,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-17,46663056,,0,110,801NB_120323
801,RINFRA-801-1_Weekday-17,46663057,,0,108,801NB_120323
801,RINFRA-801-1_Weekday-17,46663058,,0,101,801NB_120323
801,RINFRA-801-1_Weekday-17,46663059,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-17,46663060,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-17,46663061,,0,113,801NB_120323
